Symbol,Element,Period,Electronegativity,Covalent Radius,Valence Electrons,First Ionization Energy,Electron Affinity,Block,Atomic Volume
H,1,1,2.06,25,1,2.42,0.72,s,2.4
He,2,1,,25,2,3.3,,s,3.03
Li,3,2,0.89,125,1,1.44,0.72,s,2.13
Be,4,2,1.67,100,2,1.97,-3,s,1.5
B,5,2,2.06,75,3,1.97,-0.02,p,1.5
C,6,2,2.44,75,4,2.18,1.47,p,1.5
N,7,2,3.22,75,5,2.42,-1.51,p,2.4
O,8,2,3.61,50,6,2.42,1.47,p,2.4
F,9,2,4,50,7,2.68,3.7,p,2.4
Ne,10,2,,50,8,2.98,,p,2.4
Na,11,3,0.89,150,1,1.44,0.72,s,2.69
Mg,12,3,1.28,150,2,1.77,,s,2.4
Al,13,3,1.67,125,3,1.6,0.72,p,1.9
Si,14,3,1.67,125,4,1.77,1.47,p,2.13
P,15,3,2.06,100,5,2.18,0.72,p,2.4
S,16,3,2.44,100,6,2.18,2.21,p,2.4
Cl,17,3,3.22,100,7,2.42,3.7,p,2.69
Ar,18,3,,100,8,2.68,,p,3.03
K,19,4,0.5,200,1,1.3,0.72,s,3.83
Ca,20,4,0.89,175,2,1.6,-0.02,s,3.03
Sc,21,4,1.28,150,3,1.6,-0.02,d,2.4
Ti,22,4,1.28,125,4,1.77,-0.02,d,2.13
V,23,4,1.67,125,5,1.77,0.72,d,1.9
Cr,24,4,1.67,125,6,1.77,0.72,d,1.69
Mn,25,4,1.67,125,7,1.77,,d,1.69
Fe,26,4,1.67,125,8,1.77,-0.02,d,1.69
Co,27,4,1.67,100,9,1.77,0.72,d,1.69
Ni,28,4,2.06,100,10,1.77,1.47,d,1.69
Cu,29,4,1.67,100,11,1.77,1.47,d,1.69
Zn,30,4,1.67,125,12,1.97,,d,1.9
Ga,31,4,1.67,125,3,1.6,0.72,p,2.13
Ge,32,4,2.06,125,4,1.77,1.47,p,2.13
As,33,4,2.06,125,5,1.97,0.72,p,2.13
Se,34,4,2.44,125,6,1.97,2.21,p,2.4
Br,35,4,3.22,100,7,2.18,3.7,p,2.69
Kr,36,4,,125,8,2.42,,p,3.4
Rb,37,5,0.5,225,1,1.3,0.72,s,4.3
Sr,38,5,0.89,200,2,1.6,-0.02,s,3.4
Y,39,5,1.28,175,3,1.6,-0.02,d,2.69
Zr,40,5,1.28,150,4,1.6,0.72,d,2.4
Nb,41,5,1.67,150,5,1.77,0.72,d,2.13
Mo,42,5,2.06,150,6,1.77,0.72,d,1.9
Tc,43,5,2.06,125,7,1.77,0.72,d,1.9
Ru,44,5,2.06,125,8,1.77,1.47,d,1.9
Rh,45,5,2.44,125,9,1.77,1.47,d,1.9
Pd,46,5,2.06,125,12,1.97,0.72,d,1.9
Ag,47,5,2.06,125,11,1.77,1.47,d,1.9
Cd,48,5,1.67,125,12,1.97,,d,2.13
In,49,5,1.67,150,3,1.6,-0.02,p,2.4
Sn,50,5,2.06,150,4,1.77,1.47,p,2.4
Sb,51,5,2.06,150,5,1.97,1.47,p,2.69
Te,52,5,2.06,125,6,1.97,2.21,p,2.69
I,53,5,2.83,125,7,2.18,3.7,p,3.03
Xe,54,5,2.83,125,8,2.18,-0.02,p,3.83
Cs,55,6,0.5,250,1,1.3,0.72,s,4.3
Ba,56,6,0.89,200,2,1.44,-0.02,s,3.4
La,57,6,0.89,175,2,1.6,0.72,f,2.69
Ce,58,6,0.89,175,2,1.6,0.72,f,2.69
Pr,59,6,0.89,175,2,1.44,0.72,f,2.69
Nd,60,6,0.89,175,2,1.6,2.21,f,2.69
Pm,61,6,,175,2,1.6,,f,
Sm,62,6,0.89,175,2,1.6,,f,2.69
Eu,63,6,,175,2,1.6,0.72,f,3.03
Gd,64,6,0.89,175,2,1.6,,f,2.69
Tb,65,6,,175,2,1.6,1.47,f,2.69
Dy,66,6,1.28,175,2,1.6,0.72,f,2.69
Ho,67,6,1.28,175,2,1.6,,f,2.69
Er,68,6,1.28,175,2,1.6,,f,2.69
Tm,69,6,1.28,175,2,1.6,1.47,f,2.4
Yb,70,6,,175,2,1.6,-0.02,f,3.03
Lu,71,6,0.89,175,3,1.44,-0.02,d,2.4
Hf,72,6,1.28,150,4,1.77,-0.02,d,2.13
Ta,73,6,1.28,150,5,1.77,-0.02,d,2.13
W,74,6,1.67,125,6,1.77,0.72,d,1.9
Re,75,6,1.67,125,7,1.77,-0.02,d,1.9
Os,76,6,2.06,125,8,1.97,1.47,d,1.9
Ir,77,6,2.06,125,9,1.97,1.47,d,1.9
Pt,78,6,2.06,125,10,1.97,2.21,d,1.9
Au,79,6,2.44,125,11,1.97,2.21,d,1.9
Hg,80,6,1.67,125,12,2.18,,d,2.4
Tl,81,6,1.67,150,3,1.6,0.72,p,2.4
Pb,82,6,1.67,150,4,1.77,0.72,p,2.69
Bi,83,6,1.67,150,5,1.77,0.72,p,2.69
Po,84,6,2.06,150,6,1.97,2.21,p,2.69
At,85,6,2.06,150,7,1.97,2.96,p,
Rn,86,6,,150,8,2.18,,p,
Fr,87,7,0.5,225,1,1.3,0.72,s,
Ra,88,7,0.89,200,2,1.44,-0.02,s,3.83
Ac,89,7,0.89,200,2,1.44,0.72,f,2.69
Th,90,7,1.28,175,2,1.6,,f,2.69
Pa,91,7,1.28,175,2,1.6,,f,2.4
U,92,7,1.67,175,2,1.6,,f,2.13
Np,93,7,1.28,175,2,1.6,,f,2.69
Pu,94,7,1.28,175,2,1.6,,f,
Am,95,7,,175,2,1.6,,f,2.69
Cm,96,7,,175,2,1.6,,f,2.69
Bk,97,7,,175,2,1.6,,f,
Cf,98,7,,175,2,1.6,,f,
Es,99,7,,175,2,1.6,,f,
Fm,100,7,,175,2,1.6,,f,
